TYPE,CODE_,CODE_CPT,gwl,a
SCPT,14526,14526,12.53,0.8
SCPT,14538,14538,3.85,0.8
SCPT,14539,14539,8.49,0.8
SCPT,14540,14540,3.7,0.8
SCPT,14541,14541,8.95,0.8
SCPT,14543,14543,1,0.8
SCPT,14548,14548,10.9,0.8
SCPT,14550,14550,18.32,0.8
SCPT,14552,14552,1.52,0.8
SCPT,14556,14556,1.61,0.8
SCPT,14651,14651,1.33,0.8
SCPT,36413,36413,1.8,0.81
SCPT,57279,57279,0.2,0.58
SCPT,57280,57280,1,0.58
SCPT,57339,57339,1.2,0.58
SCPT,57341,57341,1,0.58
SCPT,57342,57342,1,0.58
SCPT,57343,57343,2.2,0.58
SCPT,57345,57345,1.2,0.58
SCPT,57346,57346,1.2,0.58
SCPT,57347,57347,1,0.58
SCPT,57348,57348,1,0.58
SCPT,57349,57349,2,0.58
SCPT,57350,57350,2.2,0.58
SCPT,57351,57351,1.1,0.58
SCPT,57353,57353,1,0.58
SCPT,57354,57354,1,0.58
SCPT,57355,57355,1,0.58
SCPT,57356,57356,1.1,0.58
SCPT,57357,57357,1,0.58
SCPT,57358,57358,1.6,0.58
SCPT,57359,57359,0.6,0.58
SCPT,57360,57360,1,0.58
SCPT,57362,57362,1.1,0.58
SCPT,57363,57363,3,0.58
SCPT,57364,57364,1,0.58
SCPT,57365,57365,0.8,0.58
SCPT,57366,57366,2.2,0.58
SCPT,61758,61758,1.8,0.58
SCPT,94658,94658,3.2,0.8
SCPT,114319,114319,1,0.8
SCPT,114322,114322,1,0.8
SCPT,124801,124801,7,0.81
SCPT,124802,124802,9.8,0.81
SCPT,125043,125043,2.5,0.75
SCPT,126232,126232,4,0.81
SCPT,128450,128450,4,0.81
SCPT,136515,136515,2,0.81
SCPT,140250,140250,3.3,0.81
SCPT,140251,140251,16.5,0.81
SCPT,140253,140253,2.65,0.81
SCPT,140254,140254,2.8,0.81
SCPT,140257,140257,0,0.81
SCPT,140260,140260,2.7,0.81
SCPT,140262,140262,2.7,0.81
SCPT,140263,140263,6.5,0.81
SCPT,148992,148992,2,0.8
SCPT,148995,148995,1.7,0.8
SCPT,148998,148998,2.1,0.8
SCPT,148999,148999,1.7,0.8
SCPT,154032,154032,2.4,0.8
SCPT,154771,154771,1,0.75
SCPT,154775,154775,0,0.75
SCPT,156296,156296,0,0.8
SCPT,156298,156298,0,0.8
SCPT,156300,156300,0,0.8
SCPT,156301,156301,3.5,0.8
SCPT,156307,156307,10.25,0.8
SCPT,156308,156308,10.25,0.8
SCPT,156310,156310,10.3,0.8
SCPT,156311,156311,9.8,0.8
SCPT,165738,165738,0.4,0.8
SCPT,165739,165739,0.1,0.8
SCPT,182797,182797,0.9,0.8
SCPT,184148,184148,1.3,0.75
SCPT,192457,192457,4,0.8
SCPT,192465,192465,2.1,0.8
SCPT,192469,192469,10.6,0.8
SCPT,192473,192473,10.26,0.8
SCPT,192478,192478,10.6,0.8
SCPT,192480,192480,4.4,0.8
SCPT,192483,192483,3,0.8
SCPT,195188,195188,3.1,0.79
SCPT,195941,195941,3,0.75
SCPT,196093,196093,3,0.79
SCPT,205817,205817,0.39,0.8
SCPT,205818,205818,0.38,0.8
SCPT,217000,217000,0,0.8
SDMT,100703,100699,9.5,0.8
SDMT,66983,66982,1,0.8
SDMT,66984,66982,1,0.8
SDMT,92524,91919,7.8,0.81
SDMT,92525,91920,0,0.81
SDMT,92526,91925,6.1,0.81
SDMT,92527,91926,3.4,0.81
SDMT,92534,91941,2.3,0.81
SDMT,92535,91949,3.2,0.81
SDMT,92536,91950,0,0.81
SDMT,92537,91951,3.4,0.81
SDMT,92538,91952,3.4,0.81
SDMT,92539,91968,2.8,0.81
SDMT,92540,91956,1.8,0.81
SDMT,92541,91956,1.8,0.81
SDMT,92542,91957,5.4,0.81
SDMT,92543,91960,10.4,0.81
SDMT,92544,91971,4.3,0.81
SDMT,92545,91962,4.2,0.81
SDMT,92546,91963,9.7,0.81
SDMT,92547,91964,5.43,0.81
SDMT,92548,91971,4.3,0.81
SDMT,92549,91972,3.2,0.81
SDMT,92554,91980,5.5,0.81
SDMT,92555,91981,0.7,0.81
SDMT,92556,91982,0.7,0.81
SDMT,92557,91983,0.7,0.81
SDMT,122141,121811,0,0.81
SDMT,123178,123151,2.8,0.79
SDMT,123208,123167,1.74,0.8
SDMT,139896,139731,3.5,0.81
SDMT,139897,139730,1.5,0.81
SDMT,141748,141746,1.6,0.8
SDMT,156435,156427,2.5,0.81
SDMT,156436,121825,0,0.8
SDMT,156437,156429,1.9,0.81
SDMT,156438,156430,3.5,0.81
SDMT,167294,126784,0,0.85
SDMT,173187,192322,0,0.8
SDMT,178944,163043,10.7,0.8
SDMT,178947,163107,2.1,0.8
SDMT,183366,185461,0,0.8
CPT,95077,95077,40,
CPT,95092,95092,33.2,
CPT,439,439,30,
CPT,38366,38366,30,
CPT,38367,38367,30,
CPT,38369,38369,30,
CPT,45795,45795,30,
CPT,55411,55411,30,
CPT,55417,55417,30,
CPT,55420,55420,30,
CPT,55424,55424,30,
CPT,55454,55454,30,
CPT,55456,55456,30,
CPT,55457,55457,30,
CPT,56281,56281,30,
CPT,56282,56282,30,
CPT,56711,56711,30,
CPT,56712,56712,30,
CPT,56713,56713,30,
CPT,56714,56714,30,
CPT,56715,56715,30,
CPT,56716,56716,30,
CPT,56717,56717,30,
CPT,56718,56718,30,
CPT,56719,56719,30,
CPT,73384,73384,30,
CPT,73388,73388,30,
CPT,73389,73389,30,
CPT,73390,73390,30,
CPT,73391,73391,30,
CPT,73403,73403,30,
CPT,73409,73409,30,
CPT,73411,73411,30,
CPT,73433,73433,30,
CPT,73434,73434,30,
CPT,73436,73436,30,
CPT,73437,73437,30,
CPT,73438,73438,30,
CPT,73439,73439,30,
CPT,73440,73440,30,
CPT,73441,73441,30,
CPT,73442,73442,30,
CPT,73454,73454,30,
CPT,73456,73456,30,
CPT,73459,73459,30,
CPT,73460,73460,30,
CPT,75790,75790,30,
CPT,75791,75791,30,
CPT,75793,75793,30,
CPT,75840,75840,30,
CPT,95019,95019,30,
CPT,95020,95020,30,
CPT,95023,95023,30,
CPT,95025,95025,30,
CPT,95026,95026,30,
CPT,95027,95027,30,
CPT,95028,95028,30,
CPT,95029,95029,30,
CPT,95030,95030,30,
CPT,95031,95031,30,
CPT,95032,95032,30,
CPT,95038,95038,30,
CPT,95039,95039,30,
CPT,95041,95041,30,
CPT,95045,95045,30,
CPT,95046,95046,30,
CPT,95059,95059,30,
CPT,95062,95062,30,
CPT,95065,95065,30,
CPT,95074,95074,30,
CPT,95075,95075,30,
CPT,95076,95076,30,
CPT,95078,95078,30,
CPT,95079,95079,30,
CPT,95083,95083,30,
CPT,95085,95085,30,
CPT,95090,95090,30,
CPT,95102,95102,30,
CPT,95103,95103,30,
CPT,95105,95105,30,
CPT,95106,95106,30,
CPT,95107,95107,30,
CPT,95108,95108,30,
CPT,95109,95109,30,
CPT,117219,117219,30,
CPT,123652,123652,30,
CPT,123653,123653,30,
CPT,123654,123654,30,
CPT,123655,123655,30,
CPT,123656,123656,30,
CPT,123657,123657,30,
CPT,123658,123658,30,
CPT,168268,168268,30,
CPT,168269,168269,30,
CPT,57856,57856,28,0.8
CPT,117218,117218,27.4,
CPT,117220,117220,27,
CPT,105825,105825,25,
CPT,92002,92002,24.9,0.8
CPT,105824,105824,24.9,
CPT,105788,105788,24.8,
CPT,105780,105780,24.7,
CPT,105828,105828,24.7,
CPT,105831,105831,24.63,
CPT,105826,105826,24.3,
CPT,57855,57855,24,0.8
CPT,99341,99341,23.8,0.81
CPT,105830,105830,23.72,
CPT,99335,99335,23.7,0.81
CPT,99336,99336,23.6,0.81
CPT,117178,117178,22.75,
CPT,117175,117175,22.5,
CPT,117193,117193,22.3,
CPT,99334,99334,21.5,0.81
CPT,62800,62800,20,0.8
CPT,91959,91959,20,0.81
CPT,100600,100600,20,0.85
CPT,100607,100607,20,0.85
CPT,100602,100602,19.74,0.85
CPT,100605,100605,19.7,0.85
CPT,105789,105789,19.6,
CPT,105790,105790,19.32,
CPT,117176,117176,19.24,
CPT,224301,224301,19,0.8
CPT,224307,224307,19,0.8
CPT,99348,99348,18.8,0.81
CPT,99349,99349,18.7,0.81
CPT,100603,100603,18.7,0.85
CPT,117195,117195,18.7,
CPT,92000,92000,18.5,0.8
CPT,99323,99323,18.5,0.81
CPT,117205,117205,18.2,
CPT,117158,117158,17.6,
CPT,117207,117207,17.4,
CPT,92284,92284,17.3,
CPT,111119,111119,17.2,
CPT,117179,117179,17.15,
CPT,157582,157582,17.1,0.8
CPT,162443,162443,17.1,0.8
CPT,117191,117191,17,
CPT,117180,117180,16.98,
CPT,150274,150274,16.9,0.8
CPT,111123,111123,16.64,0.81
CPT,92006,92006,16.5,0.8
CPT,190814,190814,16.5,0.8
CPT,117177,117177,16.2,
CPT,224302,224302,16,0.8
CPT,155899,155899,15.8,
CPT,181592,181592,15.8,0.81
CPT,117200,117200,15.7,
CPT,95081,95081,15.6,
CPT,109955,109955,15.6,0.81
CPT,180991,180991,15.6,0.79
CPT,92030,92030,15.5,0.81
CPT,125166,125166,15.5,
CPT,95089,95089,15.4,
CPT,201802,201802,15.3,0.8
CPT,92294,92294,15.2,
CPT,188477,188477,15.2,0.8
CPT,95080,95080,15.1,
CPT,158188,158188,15.1,0.8
CPT,158191,158191,15.1,0.8
CPT,14407,14407,15,
CPT,94750,94750,15,
CPT,105786,105786,15,
CPT,117204,117204,14.9,
CPT,121475,121475,14.85,0.81
CPT,111124,111124,14.83,0.81
CPT,95082,95082,14.8,
CPT,181606,181606,14.8,0.81
CPT,117170,117170,14.7,
CPT,117188,117188,14.7,
CPT,123886,123886,14.7,0.81
CPT,124800,124800,14.7,0.81
CPT,158189,158189,14.69,0.8
CPT,140054,140054,14.6,0.81
CPT,181660,181660,14.5,0.8
CPT,97763,97763,14.3,
CPT,117203,117203,14.3,
CPT,155834,155834,14.25,0.81
CPT,183566,183566,14.2,0.81
CPT,111138,111138,14.12,0.75
CPT,117186,117186,14.1,
CPT,14394,14394,14,
CPT,190802,190802,14,0.8
CPT,103784,103784,13.9,0.75
CPT,116479,116479,13.9,0.81
CPT,117189,117189,13.9,
CPT,117169,117169,13.7,
CPT,117187,117187,13.7,
CPT,117192,117192,13.7,
CPT,125529,125529,13.65,
CPT,138344,138344,13.6,0.81
CPT,169052,169052,13.5,0.8
CPT,105791,105791,13.4,
CPT,117174,117174,13.4,
CPT,147707,147707,13.4,0.8
CPT,92295,92295,13.3,
CPT,121755,121755,13.3,
CPT,123889,123889,13.3,0.81
CPT,225796,225796,13.3,0.81
CPT,94749,94749,13.28,
CPT,91931,91931,13.25,0.81
CPT,176521,176521,13.2,0.81
CPT,117173,117173,13.11,
CPT,117216,117216,13.1,
CPT,194528,194528,13.1,0.79
CPT,111137,111137,13.08,0.75
CPT,194525,194525,13.05,0.8
CPT,194526,194526,13.05,0.79
CPT,155799,155799,13.04,0.81
CPT,91970,91970,13,0.81
CPT,196958,196958,12.8,0.8
CPT,124096,124096,12.7,0.58
CPT,92025,92025,12.6,0.8
CPT,117194,117194,12.6,
CPT,117217,117217,12.6,
CPT,172239,172239,12.6,0.81
CPT,92339,92339,12.5,
CPT,140055,140055,12.5,0.81
CPT,147822,147822,12.5,
CPT,147832,147832,12.5,
CPT,147833,147833,12.5,
CPT,147835,147835,12.5,
CPT,190797,190797,12.5,0.8
CPT,111136,111136,12.48,0.75
CPT,155796,155796,12.42,0.81
CPT,117190,117190,12.4,
CPT,194527,194527,12.4,0.8
CPT,117181,117181,12.32,
CPT,874,874,12.3,
CPT,117171,117171,12.3,
CPT,125528,125528,12.3,
CPT,134128,134128,12.2,
CPT,173483,173483,12.2,0.81
CPT,111120,111120,12.1,
CPT,117302,117302,12.1,
CPT,145226,145226,12.1,0.8
CPT,166478,166478,12.1,0.8
CPT,147823,147823,12,
CPT,147834,147834,12,
CPT,147836,147836,12,
CPT,169051,169051,12,0.8
CPT,174260,174260,12,
CPT,196959,196959,12,0.8
CPT,160809,160809,11.94,0.8
CPT,112185,112185,11.8,0.81
CPT,112208,112208,11.8,0.81
CPT,117172,117172,11.7,
CPT,121769,121769,11.7,
CPT,139735,139735,11.7,0.81
CPT,92302,92302,11.5,
CPT,149386,149386,11.5,0.8
CPT,211512,211512,11.5,0.81
CPT,111133,111133,11.44,0.75
CPT,112207,112207,11.4,0.81
CPT,117198,117198,11.4,
CPT,49953,49953,11.3,0.81
CPT,157503,157503,11.3,0.8
CPT,173485,173485,11.3,0.81
CPT,94828,94828,11.1,
CPT,95094,95094,11,
CPT,166479,166479,11,0.8
CPT,210882,210882,11,0.8
CPT,221814,221814,11,0.8
CPT,224306,224306,11,0.8
CPT,155715,155715,10.95,0.81
CPT,151403,151403,10.91,0.8
CPT,112187,112187,10.9,0.81
CPT,117206,117206,10.9,
CPT,144886,144886,10.9,0.81
CPT,94730,94730,10.8,
CPT,112189,112189,10.8,0.81
CPT,138343,138343,10.8,0.81
CPT,215738,215738,10.8,0.8
CPT,105220,105220,10.7,0.79
CPT,105229,105229,10.7,0.79
CPT,105230,105230,10.7,0.79
CPT,105231,105231,10.7,0.79
CPT,105245,105245,10.7,0.79
CPT,105272,105272,10.7,0.79
CPT,105273,105273,10.7,0.79
CPT,105274,105274,10.7,0.79
CPT,147827,147827,10.7,
CPT,111134,111134,10.64,0.75
CPT,166649,166649,10.6,0.81
CPT,181591,181591,10.6,0.81
CPT,183852,183852,10.6,0.81
CPT,192466,192466,10.6,0.75
CPT,205744,205744,10.6,0.81
CPT,157489,157489,10.51,0.8
CPT,73458,73458,10.5,
CPT,151088,151088,10.5,0.81
CPT,210881,210881,10.5,0.8
CPT,211396,211396,10.5,0.81
CPT,254,254,10.4,
CPT,91960,91960,10.4,0.81
CPT,117163,117163,10.4,
CPT,190575,190575,10.4,0.8
CPT,94729,94729,10.3,
CPT,208481,208481,10.3,
CPT,208483,208483,10.3,
CPT,211409,211409,10.3,0.81
CPT,123576,123576,10.23,
CPT,141548,141548,10.23,0.85
CPT,157491,157491,10.23,0.8
CPT,94731,94731,10.2,
CPT,147831,147831,10.2,
CPT,166473,166473,10.2,0.8
CPT,201517,201517,10.2,0.79
CPT,117196,117196,10.1,
CPT,117201,117201,10.1,
CPT,132262,132262,10.1,0.81
CPT,208480,208480,10.1,
CPT,195731,195731,10.02,0.79
CPT,92167,92167,10,
CPT,92168,92168,10,
CPT,92288,92288,10,
CPT,109919,109919,10,0.81
CPT,134028,134028,10,0.81
CPT,211402,211402,10,0.81
CPT,105827,105827,9.9,
CPT,184924,184924,9.9,0.8
CPT,225056,225056,9.81,0.856
CPT,225057,225057,9.81,0.828
CPT,225058,225058,9.81,0.828
CPT,225070,225070,9.81,0.8
CPT,225078,225078,9.81,0.8
CPT,225080,225080,9.81,0.8
CPT,225113,225113,9.81,0.851
CPT,225114,225114,9.81,0.854
CPT,225115,225115,9.81,0.851
CPT,225117,225117,9.81,0.851
CPT,225119,225119,9.81,0.854
CPT,225121,225121,9.81,0.854
CPT,225122,225122,9.81,0.854
CPT,225123,225123,9.81,0.854
CPT,225124,225124,9.81,0.854
CPT,225126,225126,9.81,0.853
CPT,225127,225127,9.81,0.851
CPT,225129,225129,9.81,0.851
CPT,225131,225131,9.81,0.851
CPT,225133,225133,9.81,0.851
CPT,225135,225135,9.81,0.854
CPT,225137,225137,9.81,0.853
CPT,225139,225139,9.81,0.854
CPT,225141,225141,9.81,0.853
CPT,225143,225143,9.81,0.851
CPT,225145,225145,9.81,0.851
CPT,225148,225148,9.81,0.853
CPT,225153,225153,9.81,0.854
CPT,225156,225156,9.81,0.853
CPT,225158,225158,9.81,0.854
CPT,225161,225161,9.81,0.853
CPT,225165,225165,9.81,0.854
CPT,225169,225169,9.81,0.851
CPT,225172,225172,9.81,0.853
CPT,225286,225286,9.81,0.856
CPT,225287,225287,9.81,0.828
CPT,225294,225294,9.81,0.828
CPT,225295,225295,9.81,0.828
CPT,225296,225296,9.81,0.856
CPT,225297,225297,9.81,0.828
CPT,225715,225715,9.81,0.85
CPT,225716,225716,9.81,0.85
CPT,94778,94778,9.8,
CPT,105781,105781,9.8,
CPT,105782,105782,9.8,
