Profile_Name,File_Name,VsZ_15m,Max_Depth_In_File,Used_Depth_For_VsZ
SCPT_136515,SCPT_136515.csv,206.695,19.0,15
SCPT_148992,SCPT_148992.csv,170.634,24.0,15
SCPT_148995,SCPT_148995.csv,161.51,27.0,15
SCPT_148998,SCPT_148998.csv,161.598,24.0,15
SCPT_148999,SCPT_148999.csv,195.851,24.0,15
SCPT_165738,SCPT_165738.csv,149.13,29.0,15
SCPT_165739,SCPT_165739.csv,176.529,26.53,15
SCPT_205818,SCPT_205818.csv,147.729,30.5,15
SCPT_217000,SCPT_217000.csv,181.051,20.0,15
SCPT_57279,SCPT_57279.csv,115.774,20.0,15
SCPT_57280,SCPT_57280.csv,89.171,18.0,15
SCPT_57339,SCPT_57339.csv,104.834,17.6,15
SCPT_57341,SCPT_57341.csv,139.89,20.0,15
SCPT_57342,SCPT_57342.csv,133.353,20.0,15
SCPT_57343,SCPT_57343.csv,159.471,20.0,15
SCPT_57345,SCPT_57345.csv,125.483,20.0,15
SCPT_57346,SCPT_57346.csv,135.509,20.0,15
SCPT_57347,SCPT_57347.csv,152.539,20.0,15
SCPT_57348,SCPT_57348.csv,159.032,20.0,15
SCPT_57349,SCPT_57349.csv,150.075,20.0,15
SCPT_57350,SCPT_57350.csv,157.613,20.0,15
SCPT_57351,SCPT_57351.csv,113.679,19.6,15
SCPT_57353,SCPT_57353.csv,131.816,17.9,15
SCPT_57354,SCPT_57354.csv,142.278,20.0,15
SCPT_57355,SCPT_57355.csv,127.086,20.0,15
SCPT_57356,SCPT_57356.csv,135.76,20.0,15
SCPT_57357,SCPT_57357.csv,130.938,20.0,15
SCPT_57358,SCPT_57358.csv,132.74,20.0,15
SCPT_57359,SCPT_57359.csv,116.101,18.0,15
SCPT_57360,SCPT_57360.csv,136.761,20.0,15
SCPT_57362,SCPT_57362.csv,118.954,20.0,15
SCPT_57364,SCPT_57364.csv,124.212,16.7,15
SCPT_57365,SCPT_57365.csv,136.78,20.0,15
SCPT_57366,SCPT_57366.csv,150.344,20.0,15
SCPT_61758,SCPT_61758.csv,141.996,15.0,15
SDMT_122142,SDMT_122142.csv,127.985,24.5,15
SDMT_178944,SDMT_178944.csv,112.942,16.0,15
SDMT_178947,SDMT_178947.csv,115.216,19.0,15
