Profile_Name,File_Name,VsZ_15m_D0,VsZ_15m_D1,VsZ_15m_D2,VsZ_15m_D3,VsZ_15m_D4,VsZ_15m_D5
SCPT_136515,SCPT_136515.csv,206.695,218.401,210.418,212.245,224.887,204.566
SCPT_148992,SCPT_148992.csv,170.634,163.539,118.075,172.854,175.197,153.408
SCPT_148995,SCPT_148995.csv,161.51,162.963,124.017,124.017,158.047,140.857
SCPT_148998,SCPT_148998.csv,161.598,135.166,135.166,166.911,167.977,159.946
SCPT_148999,SCPT_148999.csv,195.851,182.199,180.02,174.62,175.299,165.523
SCPT_165738,SCPT_165738.csv,149.13,148.602,148.111,155.639,155.2,167.05
SCPT_165739,SCPT_165739.csv,176.529,166.875,169.223,173.66,175.722,167.34
SCPT_205818,SCPT_205818.csv,147.729,171.343,173.308,170.133,181.672,199.281
SCPT_217000,SCPT_217000.csv,181.051,173.813,189.98,202.563,201.278,194.105
SCPT_57279,SCPT_57279.csv,115.774,110.29,113.641,115.279,116.39,109.079
SCPT_57280,SCPT_57280.csv,89.171,85.629,78.218,76.826,78.535,78.535
SCPT_57339,SCPT_57339.csv,104.834,106.2,113.757,117.174,118.084,116.266
SCPT_57341,SCPT_57341.csv,139.89,143.164,146.405,147.876,153.743,162.092
SCPT_57342,SCPT_57342.csv,133.353,136.212,137.7,139.429,140.092,134.594
SCPT_57343,SCPT_57343.csv,159.471,166.673,170.929,174.823,179.751,185.524
SCPT_57345,SCPT_57345.csv,125.483,125.909,120.37,124.183,120.639,126.216
SCPT_57346,SCPT_57346.csv,135.509,142.87,152.126,157.098,157.098,156.19
SCPT_57347,SCPT_57347.csv,152.539,158.869,162.354,160.257,160.852,150.715
SCPT_57348,SCPT_57348.csv,159.032,162.992,166.983,169.302,163.757,176.594
SCPT_57349,SCPT_57349.csv,150.075,153.519,156.972,155.802,157.234,142.687
SCPT_57350,SCPT_57350.csv,157.613,164.23,166.976,170.064,178.867,177.463
SCPT_57351,SCPT_57351.csv,113.679,117.918,117.46,121.173,115.928,121.831
SCPT_57353,SCPT_57353.csv,131.816,142.291,141.64,147.103,159.603,155.268
SCPT_57354,SCPT_57354.csv,142.278,145.614,147.031,151.797,156.276,162.377
SCPT_57355,SCPT_57355.csv,127.086,129.296,134.387,137.888,142.112,141.283
SCPT_57356,SCPT_57356.csv,135.76,136.608,131.786,128.264,138.88,130.322
SCPT_57357,SCPT_57357.csv,130.938,134.375,140.814,141.759,143.219,150.434
SCPT_57358,SCPT_57358.csv,132.74,144.142,143.339,142.0,143.901,143.123
SCPT_57359,SCPT_57359.csv,116.101,116.101,124.036,124.412,125.955,138.303
SCPT_57360,SCPT_57360.csv,136.761,140.01,139.333,146.192,156.674,155.092
SCPT_57362,SCPT_57362.csv,118.954,121.958,121.958,125.807,128.306,134.954
SCPT_57364,SCPT_57364.csv,124.212,126.428,130.253,134.412,123.531,122.018
SCPT_57365,SCPT_57365.csv,136.78,136.78,144.116,149.878,150.321,141.623
SCPT_57366,SCPT_57366.csv,150.344,160.521,167.882,166.917,147.857,174.473
SCPT_61758,SCPT_61758.csv,141.996,142.758,142.243,141.56,144.38,153.35
SDMT_122142,SDMT_122142.csv,127.985,142.343,148.971,147.235,146.819,149.834
SDMT_178944,SDMT_178944.csv,112.942,94.468,95.175,125.1,118.023,169.728
SDMT_178947,SDMT_178947.csv,115.216,110.467,83.58,95.206,95.762,93.767
